caused_by_id,involved_car1,violation_code,involved_driver1
CBJ44O,AMQ6374,8J7L3Y47,6Y5Q3S6G8290NVB7T
CBR83A,SVH5193,7U8R5U62,0I1E4I7V4271RUS7K
CBL86C,RNE2920,8F7E0V98,7J9Q0R7Z6484IYC2W
CBK61N,QYH6991,7Y3V9Y44,1O0K4C3E5693ABF4A
CBI46R,HJW1761,5K3A4Y48,0C6W6W7Q6470BAL2R
CBL17A,NVD6601,5F5C7P51,1K5J8Q6Y3072HMJ5J
CBB22B,BVX0795,7P4A4L61,4J0Q1B7E0721BEM5R
CBR53X,FDJ9151,4C1Z8Q74,5N5L4V2L9945KYO8P
CBZ21I,LYN8981,0S6V3P33,8T1G5P3V3593NLN5J
CBO75S,OSZ9665,8R9O0L09,9W9L3D2M4920TAA2E
CBZ97E,HIV9733,7U6W7B65,1I1L7C5G5577NTV8E
CBK21W,IKL2507,5P6C0B79,3C2K3B6E3736MWM2E
CBX71A,PJH3205,5X3B3G95,5S7V4B2C4927VWR7C
CBH31J,ZOV5852,9W4Z2Z65,5I5T6A4T7835MWQ9Y
CBW66V,OGN8977,1N7M2T43,7G1T6H9S6900KEQ4D
CBR20F,TQD8472,3N7G8F53,2F1X9W0H5533HOB5M
CBA60A,NBP3223,9T1G3Q13,0F5W1F8H7784PHB8K
CBX76R,YJC2554,7Y5D1L59,5B9L3O9M4322ITN6X
CBL20M,QCF4761,6G2P9T86,2H5H8I5F7799YOU3H
CBC40L,YEZ0308,7B7K6C45,8U3D9R4M2346XHF3Y
CBN94F,OFX4597,5J2R6K94,9G4L0I2E0935DRX2R
CBO79I,HNU3413,0D4V0A25,5I1O4M8L8470RLO4X
CBH29U,HQQ5060,8E9Y6I43,9M3T0M9X1979DKW7U
CBZ19X,LFF9569,7Q2B1K62,5R1U5T7J8297RMV6X
CBF23M,ATA4307,1N9W6X92,8K3S6P8O3364FQA7H
CBP73W,ORN6410,3Y8V4N54,6D5I7F4I6822SDJ1K
CBD41A,QUW7048,8D1O3S25,0E3N3D1L1802NMX0Q
CBR51J,FQU5193,3A6B9I48,6T1A4G0C5695NIJ8Q
CBY24A,NZS9810,4F1S8A54,2S9F4J7V4493KXU7R
CBI79W,IDU1498,7S8B2N24,1E1Z8I5H1060BJD9P
CBO88S,DDF9695,9F2Q4Q46,3A3O7F4X8738VNG9M
CBA53V,GFG4950,1A7D8C88,9V9Z4L5M2794RZG0A
CBI09I,YBO9297,6T2O8V24,9M8N2N9A9321GWF2M
CBH88C,AHR5652,9U9E3L11,2B4T1D6J0417TOC3P
CBI82G,BQW8308,8W6R0Q11,1K4P7V2E1981OWR5A
CBT10H,CHK0160,5L0W6F23,4R1Z0O0B9413NID5O
CBM75O,MXG3843,2B0L1D64,1C4J5G8N9462IWA7I
CBE38T,IGB6328,3B0K7I57,7A7E3S2E2797BAR5S
CBU21P,OSE5520,2H2W6N02,5U2N2L3S2421IFI4Z
CBT14X,SUJ6976,2N4Y0C90,6Y8I3P4M1043QXM7T
CBY59N,QNK0929,6S0B0U37,6L6K3V6R1174YEJ2Y
CBV52Q,XWI3235,9M8V1Q17,0M8F1D8Y8508JJQ3E
CBI92Q,XMX3812,1E3O6H19,9V5F1R6I7613PMR2I
CBA24Z,FNN9020,6O9T5M65,8R8Q5P1G9793RGK5E
CBT29U,WFZ9195,2H8U8D17,1R2V8N9C7734BER0K
CBF27T,YHS3869,4T6Y5K53,3K7S8V5O9286CEF8P
CBN91V,OYU8554,4V7Z8M82,9F0T9Z2Y9036QHG0G
CBZ63U,YQI6776,5J5Z6E66,3G1X5Y1R4921ITZ8E
CBJ60L,LOK1016,3V4L1H28,9Z8G9Q9X6514INQ0F
CBA58I,LMC5563,4X7Q2Y92,3T0Y2E7D4098EHL9R
CBX75L,,,
CBC79J,,,
CBY77G,,,
CBN02V,,,
CBH51F,,,
CBZ47W,,,
CBC97I,,,
CBF04O,,,
CBW97T,,,
CBV28L,,,
CBF35N,,,
CBI71T,,,
CBX61U,,,
CBF51M,,,
CBF25K,,,
CBI17H,,,
CBY32W,,,
CBE11S,,,
CBX22W,,,
CBW79W,,,
CBN21X,,,
CBK97C,,,
CBN65Z,,,
CBD13B,,,
CBK53I,,,
CBO71A,,,
CBW45P,,,
CBC13W,,,
CBU98M,,,
CBS44Y,,,
CBA30K,,,
CBV39M,,,
CBB96A,,,
CBF76K,,,
CBT83Q,,,
CBY90D,,,
CBD09X,,,
CBE32L,,,
CBW24F,,,
CBT48B,,,
CBS50S,,,
CBA05C,,,
CBJ34J,,,
CBI80K,,,
CBK18Z,,,
CBF59Q,,,
CBM29G,,,
CBN47C,,,
CBC48Q,,,
CBF11I,,,
