violation_code,violation_date,violation_time,short_description
8J7L3Y47,11-05-10,6:12 PM,No proper vehicle registration
7U8R5U62,11-12-20,2:59 PM,Passing other vehicles in a no-passing zone
8F7E0V98,10-10-10,9:15 PM,Driving under drugs/alcohol influence
7Y3V9Y44,12-05-15,10:53 AM,Failure to have updated insurance
5K3A4Y48,11-08-20,5:33 AM,Distracted driving
5F5C7P51,12/27/2013,3:08 PM,Not stopping for pedestrians
7P4A4L61,2/24/2010,10:36 PM,Not using the seat belt
4C1Z8Q74,6/27/2021,7:12 PM,Driving under drugs/alcohol influence
0S6V3P33,1/25/2020,1:16 PM,No proper vehicle registration
8R9O0L09,01-03-12,3:09 AM,Avoiding stop signs and red light
7U6W7B65,12/25/2016,1:18 PM,Not using the seat belt
5P6C0B79,07-10-16,12:23 PM,Driving in the carpool lane
5X3B3G95,5/26/2012,2:46 AM,Driving in the carpool lane
9W4Z2Z65,9/21/2019,11:48 AM,No proper vehicle registration
1N7M2T43,09-09-10,11:44 PM,Distracted driving
3N7G8F53,05-08-12,2:10 AM,No proper vehicle registration
9T1G3Q13,5/16/2017,12:23 PM,Driving under drugs/alcohol influence
7Y5D1L59,04-11-19,3:23 AM,Not using the seat belt
6G2P9T86,06-03-18,1:45 PM,No proper vehicle registration
7B7K6C45,2/13/2015,5:42 AM,Over speed
5J2R6K94,12/18/2015,4:41 AM,Driving around without stopping for school bus
0D4V0A25,4/16/2013,2:29 PM,Passing other vehicles in a no-passing zone
8E9Y6I43,10/27/2012,2:49 AM,No valid driver’s license
7Q2B1K62,06-11-17,7:20 AM,Distracted driving
1N9W6X92,9/15/2015,8:37 PM,Driving around without stopping for school bus
3Y8V4N54,10-08-17,1:15 AM,No valid driver’s license
8D1O3S25,12-06-13,3:44 AM,Passing other vehicles in a no-passing zone
3A6B9I48,02-07-14,11:55 PM,Passing other vehicles in a no-passing zone
4F1S8A54,2/28/2015,8:54 AM,No proper vehicle registration
7S8B2N24,07-01-12,1:34 AM,Failure to have updated insurance
9F2Q4Q46,08-03-13,12:53 AM,Not using the seat belt
1A7D8C88,11/16/2012,1:09 PM,Over speed
6T2O8V24,5/27/2010,6:51 PM,Passing other vehicles in a no-passing zone
9U9E3L11,12/15/2015,1:01 AM,Over speed
8W6R0Q11,02-09-17,2:59 AM,No proper vehicle registration
5L0W6F23,6/20/2013,8:03 PM,Passing other vehicles in a no-passing zone
2B0L1D64,9/16/2010,7:50 PM,No proper vehicle registration
3B0K7I57,6/16/2010,8:34 AM,Avoiding stop signs and red light
2H2W6N02,04-04-10,10:51 AM,No valid driver’s license
2N4Y0C90,1/23/2016,3:56 AM,Distracted driving
6S0B0U37,3/30/2016,9:51 AM,Passing other vehicles in a no-passing zone
9M8V1Q17,4/14/2017,9:11 PM,Not using the seat belt
1E3O6H19,12/19/2014,5:56 AM,Driving under drugs/alcohol influence
6O9T5M65,7/17/2019,2:45 AM,Not signaling
2H8U8D17,06-05-13,7:29 PM,Not using the seat belt
4T6Y5K53,4/21/2018,4:33 PM,Not using the seat belt
4V7Z8M82,09-08-13,7:55 AM,Failure to have updated insurance
5J5Z6E66,10/24/2014,11:03 PM,Passing other vehicles in a no-passing zone
3V4L1H28,5/14/2015,4:02 AM,Passing other vehicles in a no-passing zone
4X7Q2Y92,11-01-15,3:51 AM,Not stopping for pedestrians
